"Weekly Measles Case reports for Michigan"
"Data provided by Project Tycho, Data Version 1.0.0, released 28 November 2013."
1991,27,0
1991,28,0
1991,29,0
1991,30,0
1991,31,0
1991,32,0
1991,33,0
1991,34,2
1991,35,0
1991,36,0
1991,37,0
1991,38,0
1991,39,0
1991,40,1
1991,41,0
1991,42,1
1991,43,0
1991,44,0
1991,45,0
1991,46,0
1991,47,0
1991,48,0
1991,49,0
1991,50,0
1991,51,-
1991,52,-
1992,1,-
1992,2,-
1992,3,-
1992,4,-
1992,5,-
1992,6,-
1992,7,-
1992,8,-
1992,9,-
1992,10,-
1992,11,-
1992,12,-
1992,13,-
1992,14,-
1992,15,-
1992,16,-
1992,17,-
1992,18,-
1992,19,-
1992,20,-
1992,21,0
1992,22,0
1992,23,0
1992,24,1
1992,25,0
1992,26,0
1992,27,0
1992,28,2
1992,29,-
1992,30,0
1992,31,0
1992,32,0
1992,33,0
1992,34,0
1992,35,0
1992,36,0
1992,37,0
1992,38,0
1992,39,0
1992,40,0
1992,41,9
1992,42,0
1992,43,0
1992,44,-
1992,45,-
1992,46,0
1992,47,2
1992,48,0
1992,49,0
1992,50,-
1992,51,0
1992,52,0
1993,1,-
1993,2,-
1993,3,-
1993,4,-
1993,5,-
1993,6,-
1993,7,-
1993,8,-
1993,9,-
1993,10,-
1993,11,-
1993,12,-
1993,13,-
1993,14,-
1993,15,-
1993,16,-
1993,17,-
1993,18,-
1993,19,-
1993,20,-
1993,21,-
1993,22,-
1993,23,-
1993,24,-
1993,25,-
1993,26,-
1993,27,-
1993,28,-
1993,29,-
1993,30,5
1993,31,0
1993,32,0
1993,33,0
1993,34,0
1993,35,0
1993,36,1
1993,37,0
1993,38,0
1993,39,0
1993,40,0
1993,41,0
1993,42,0
1993,43,0
1993,44,0
1993,45,0
1993,46,0
1993,47,0
1993,48,0
1993,49,0
1993,50,0
1993,51,1
1993,52,0
1994,1,-
1994,2,-
1994,3,-
1994,4,-
1994,5,-
1994,6,-
1994,7,-
1994,8,-
1994,9,-
1994,10,-
1994,11,-
1994,12,-
1994,13,-
1994,14,-
1994,15,-
1994,16,1
1994,17,2
1994,18,0
1994,19,0
1994,20,0
1994,21,0
1994,22,0
1994,23,4
1994,24,-
1994,25,-
1994,26,2
1994,27,0
1994,28,4
1994,29,0
1994,30,1
1994,31,0
1994,32,0
1994,33,0
1994,34,0
1994,35,0
1994,36,0
1994,37,0
1994,38,0
1994,39,0
1994,40,0
1994,41,0
1994,42,-
1994,43,0
1994,44,0
1994,45,0
1994,46,0
1994,47,0
1994,48,0
1994,49,0
1994,50,1
1994,51,0
1994,52,0
1995,1,-
1995,2,-
1995,3,-
1995,4,-
1995,5,-
1995,6,-
1995,7,-
1995,8,-
1995,9,-
1995,10,-
1995,11,-
1995,12,-
1995,13,-
1995,14,-
1995,15,-
1995,16,-
1995,17,-
1995,18,-
1995,19,-
1995,20,-
1995,21,-
1995,22,1
1995,23,0
1995,24,0
1995,25,0
1995,26,1
1995,27,0
1995,28,0
1995,29,0
1995,30,0
1995,31,0
1995,32,0
1995,33,0
1995,34,0
1995,35,0
1995,36,0
1995,37,0
1995,38,0
1995,39,0
1995,40,0
1995,41,0
1995,42,0
1995,43,0
1995,44,0
1995,45,2
1995,46,0
1995,47,0
1995,48,0
1995,49,0
1995,50,0
1995,51,0
1995,52,0
1996,1,-
1996,2,-
1996,3,-
1996,4,-
1996,5,-
1996,6,-
1996,7,-
1996,8,-
1996,9,-
1996,10,-
1996,11,-
1996,12,-
1996,13,-
1996,14,-
1996,15,-
1996,16,-
1996,17,1
1996,18,0
1996,19,0
1996,20,0
1996,21,0
1996,22,0
1996,23,0
1996,24,1
1996,25,0
1996,26,0
1996,27,0
1996,28,0
1996,29,0
1996,30,0
1996,31,0
1996,32,0
1996,33,0
1996,34,0
1996,35,0
1996,36,0
1996,37,0
1996,38,0
1996,39,0
1996,40,0
1996,41,0
1996,42,0
1996,43,0
1996,44,0
1996,45,0
1996,46,0
1996,47,0
1996,48,0
1996,49,0
1996,50,0
1996,51,0
1996,52,0
1997,1,-
1997,2,-
1997,3,-
1997,4,-
1997,5,-
1997,6,-
1997,7,7
1997,8,-
1997,9,0
1997,10,0
1997,11,0
1997,12,0
1997,13,0
1997,14,0
1997,15,0
1997,16,0
1997,17,0
1997,18,0
1997,19,0
1997,20,0
1997,21,0
1997,22,0
1997,23,0
1997,24,0
1997,25,1
1997,26,0
1997,27,0
1997,28,0
1997,29,0
1997,30,0
1997,31,0
1997,32,0
1997,33,0
1997,34,0
1997,35,0
1997,36,0
1997,37,0
1997,38,0
1997,39,0
1997,40,0
1997,41,0
1997,42,0
1997,43,0
1997,44,0
1997,45,0
1997,46,0
1997,47,0
1997,48,0
1997,49,0
1997,50,0
1997,51,0
1997,52,0
1998,1,-
1998,2,-
1998,3,-
1998,4,-
1998,5,-
1998,6,-
1998,7,-
1998,8,-
1998,9,-
1998,10,0
1998,11,0
1998,12,0
1998,13,0
1998,14,0
1998,15,0
1998,16,-
1998,17,-
1998,18,0
1998,19,0
1998,20,0
1998,21,1
1998,22,2
1998,23,4
1998,24,0
1998,25,0
1998,26,0
1998,27,2
1998,28,0
1998,29,0
1998,30,0
1998,31,-
1998,32,-
1998,33,0
1998,34,0
1998,35,0
1998,36,0
1998,37,0
1998,38,0
1998,39,0
1998,40,-
1998,41,-
1998,42,0
1998,43,0
1998,44,0
1998,45,0
1998,46,0
1998,47,0
1998,48,0
1998,49,0
1998,50,0
1998,51,0
1998,52,0
1999,1,-
1999,2,-
1999,3,-
1999,4,-
1999,5,-
1999,6,-
1999,7,-
1999,8,-
1999,9,-
1999,10,-
1999,11,-
1999,12,-
1999,13,-
1999,14,-
1999,15,-
1999,16,-
1999,17,-
1999,18,-
1999,19,-
1999,20,-
1999,21,-
1999,22,-
1999,23,-
1999,24,-
1999,25,-
1999,26,-
1999,27,-
1999,28,-
1999,29,0
1999,30,0
1999,31,0
1999,32,0
1999,33,0
1999,34,0
1999,35,0
1999,36,0
1999,37,0
1999,38,0
1999,39,0
1999,40,0
1999,41,0
1999,42,0
1999,43,0
1999,44,0
1999,45,0
1999,46,0
1999,47,0
1999,48,0
1999,49,0
1999,50,0
1999,51,0
1999,52,-
2000,1,-
2000,2,-
2000,3,0
2000,4,0
2000,5,0
2000,6,0
2000,7,0
2000,8,0
2000,9,0
2000,10,0
2000,11,0
2000,12,0
2000,13,0
2000,14,0
2000,15,0
2000,16,0
2000,17,0
2000,18,0
2000,19,0
2000,20,0
2000,21,0
2000,22,0
2000,23,0
2000,24,0
2000,25,0
2000,26,0
2000,27,0
2000,28,0
2000,29,0
2000,30,0
2000,31,0
2000,32,0
2000,33,0
2000,34,0
2000,35,0
2000,36,1
2000,37,0
2000,38,0
2000,39,0
2000,40,0
2000,41,0
2000,42,0
2000,43,0
2000,44,0
2000,45,0
2000,46,1
2000,47,0
2000,48,0
2000,49,0
2000,50,0
2000,51,0
2000,52,0
2001,1,-
2001,2,-
2001,3,-
2001,4,-
2001,5,-
2001,6,-
2001,7,-
2001,8,-
2001,9,-
2001,10,-
2001,11,-
2001,12,-
2001,13,-
2001,14,-
2001,15,-
2001,16,-
2001,17,-
2001,18,-
2001,19,-
2001,20,-
2001,21,-
2001,22,-
2001,23,-
2001,24,-
2001,25,-
2001,26,-
2001,27,-
2001,28,-
2001,29,-
2001,30,-
2001,31,-
2001,32,-
2001,33,-
2001,34,-
2001,35,-
2001,36,-
2001,37,-
2001,38,-
2001,39,-
2001,40,-
2001,41,-
2001,42,-
2001,43,-
2001,44,-
2001,45,-
2001,46,-
2001,47,-
2001,48,-
2001,49,-
2001,50,-
2001,51,-
2001,52,-
2002,1,-
2002,2,-
2002,3,-
2002,4,-
2002,5,-
2002,6,-
2002,7,-
2002,8,-
2002,9,-
2002,10,-
2002,11,-
2002,12,-
2002,13,-
2002,14,-
2002,15,-
2002,16,-
2002,17,-
2002,18,-
2002,19,-
2002,20,-
2002,21,-
2002,22,-
2002,23,-
2002,24,-
2002,25,-
2002,26,-
2002,27,-
2002,28,-
2002,29,-
2002,30,-
2002,31,-
2002,32,-
2002,33,-
2002,34,-
2002,35,-
2002,36,-
2002,37,-
2002,38,-
2002,39,-
2002,40,-
2002,41,-
2002,42,-
2002,43,-
2002,44,-
2002,45,-
2002,46,-
2002,47,-
2002,48,-
2002,49,-
2002,50,-
2002,51,-
2002,52,-
2003,1,-
2003,2,-
2003,3,-
2003,4,-
2003,5,-
2003,6,-
2003,7,-
2003,8,-
2003,9,-
2003,10,-
2003,11,-
2003,12,-
2003,13,-
2003,14,-
2003,15,-
2003,16,-
2003,17,-
2003,18,-
2003,19,-
2003,20,-
2003,21,-
2003,22,-
2003,23,-
2003,24,-
2003,25,-
2003,26,-
2003,27,-
2003,28,-
2003,29,-
2003,30,-
2003,31,-
2003,32,-
2003,33,-
2003,34,-
2003,35,-
2003,36,-
2003,37,-
2003,38,-
2003,39,-
2003,40,-
2003,41,-
2003,42,-
2003,43,-
2003,44,-
2003,45,-
2003,46,-
2003,47,-
2003,48,-
2003,49,-
2003,50,-
2003,51,-
2003,52,-
2004,1,-
2004,2,-
2004,3,-
2004,4,-
2004,5,-
2004,6,-
2004,7,-
2004,8,-
2004,9,-
2004,10,-
2004,11,-
2004,12,-
2004,13,-
2004,14,-
2004,15,-
2004,16,-
2004,17,-
2004,18,-
2004,19,-
2004,20,-
2004,21,-
2004,22,-
2004,23,-
2004,24,-
2004,25,-
2004,26,-
2004,27,-
2004,28,-
2004,29,-
2004,30,-
2004,31,-
2004,32,-
2004,33,-
2004,34,-
2004,35,-
2004,36,-
2004,37,-
2004,38,-
2004,39,-
2004,40,-
2004,41,-
2004,42,-
2004,43,-
2004,44,-
2004,45,-
2004,46,-
2004,47,-
2004,48,-
2004,49,-
2004,50,-
2004,51,-
2004,52,-
2005,1,-
2005,2,-
2005,3,-
2005,4,-
2005,5,-
2005,6,-
2005,7,-
2005,8,-
2005,9,-
2005,10,-
2005,11,-
2005,12,-
2005,13,-
2005,14,-
2005,15,-
2005,16,-
2005,17,-
2005,18,-
2005,19,-
2005,20,-
2005,21,-
2005,22,-
2005,23,-
2005,24,-
2005,25,-
2005,26,-
2005,27,-
2005,28,-
2005,29,-
2005,30,-
2005,31,-
2005,32,-
2005,33,-
2005,34,-
2005,35,-
2005,36,-
2005,37,-
2005,38,-
2005,39,-
2005,40,-
2005,41,-
2005,42,-
2005,43,-
2005,44,-
2005,45,-
2005,46,-
2005,47,-
2005,48,-
2005,49,-
2005,50,-
2005,51,-
2005,52,-
2006,1,-
2006,2,-
2006,3,-
2006,4,-
2006,5,-
2006,6,-
2006,7,-
2006,8,-
2006,9,-
2006,10,-
2006,11,-
2006,12,-
2006,13,-
2006,14,-
2006,15,-
2006,16,-
2006,17,-
2006,18,-
2006,19,-
2006,20,-
2006,21,-
2006,22,-
2006,23,-
2006,24,-
2006,25,-
2006,26,-
2006,27,-
2006,28,-
2006,29,-
2006,30,-
2006,31,-
2006,32,-
2006,33,-
2006,34,-
2006,35,-
2006,36,-
2006,37,-
2006,38,-
2006,39,-
2006,40,-
2006,41,-
2006,42,-
2006,43,-
2006,44,-
2006,45,-
2006,46,-
2006,47,-
2006,48,-
2006,49,-
2006,50,-
2006,51,-
2006,52,-
2007,1,-
2007,2,-
2007,3,-
2007,4,-
2007,5,-
2007,6,-
2007,7,-
2007,8,-
2007,9,-
2007,10,-
2007,11,-
2007,12,-
2007,13,-
2007,14,-
2007,15,-
2007,16,-
2007,17,-
2007,18,-
2007,19,-
2007,20,-
2007,21,-
2007,22,-
2007,23,-
2007,24,-
2007,25,-
2007,26,-
2007,27,-
2007,28,-
2007,29,-
2007,30,-
2007,31,-
2007,32,-
2007,33,-
2007,34,-
2007,35,-
2007,36,-
2007,37,-
2007,38,-
2007,39,-
2007,40,-
2007,41,-
2007,42,-
2007,43,-
2007,44,-
2007,45,-
2007,46,-
2007,47,-
2007,48,-
2007,49,-
2007,50,-
2007,51,-
2007,52,-
2008,1,-
2008,2,-
2008,3,-
2008,4,-
2008,5,-
2008,6,-
2008,7,-
2008,8,-
2008,9,-
2008,10,-
2008,11,-
2008,12,-
2008,13,-
2008,14,-
2008,15,-
2008,16,-
2008,17,-
2008,18,-
2008,19,-
2008,20,-
2008,21,-
2008,22,-
2008,23,-
2008,24,-
2008,25,-
2008,26,-
2008,27,-
2008,28,-
2008,29,-
2008,30,-
2008,31,-
2008,32,-
2008,33,-
2008,34,-
2008,35,-
2008,36,-
2008,37,-
2008,38,-
2008,39,-
2008,40,-
2008,41,-
2008,42,-
2008,43,-
2008,44,-
2008,45,-
2008,46,-
2008,47,-
2008,48,-
2008,49,-
2008,50,-
2008,51,-
2008,52,-
2009,1,-
2009,2,-
2009,3,-
2009,4,-
2009,5,-
2009,6,-
2009,7,-
2009,8,-
2009,9,-
2009,10,-
2009,11,-
2009,12,-
2009,13,-
2009,14,-
2009,15,-
2009,16,-
2009,17,-
2009,18,-
2009,19,-
2009,20,-
2009,21,-
2009,22,-
2009,23,-
2009,24,-
2009,25,-
2009,26,-
2009,27,-
2009,28,-
2009,29,-
2009,30,-
2009,31,-
2009,32,-
2009,33,-
2009,34,-
2009,35,-
2009,36,-
2009,37,-
2009,38,-
2009,39,-
2009,40,-
2009,41,-
2009,42,-
2009,43,-
2009,44,-
2009,45,-
2009,46,-
2009,47,-
2009,48,-
2009,49,-
2009,50,-
2009,51,-
2009,52,-
2010,1,-
2010,2,-
2010,3,-
2010,4,-
2010,5,-
2010,6,-
2010,7,-
2010,8,-
2010,9,-
2010,10,-
2010,11,-
2010,12,-
2010,13,-
2010,14,-
2010,15,-
2010,16,-
2010,17,-
2010,18,-
2010,19,-
2010,20,-
2010,21,-
2010,22,-
2010,23,-
2010,24,-
2010,25,-
2010,26,-
2010,27,-
2010,28,-
2010,29,-
2010,30,-
2010,31,-
2010,32,-
2010,33,-
2010,34,-
2010,35,-
2010,36,-
2010,37,-
2010,38,-
2010,39,-
2010,40,-
2010,41,-
2010,42,-
2010,43,-
2010,44,-
2010,45,-
2010,46,-
2010,47,-
2010,48,-
2010,49,-
2010,50,-
2010,51,-
2010,52,-
2011,1,-
2011,2,-
2011,3,-
2011,4,-
2011,5,-
2011,6,-
2011,7,-
2011,8,-
2011,9,-
2011,10,-
2011,11,-
2011,12,-
2011,13,-
2011,14,-
2011,15,-
2011,16,-
2011,17,-
2011,18,-
2011,19,-
2011,20,-
2011,21,-
2011,22,-
2011,23,-
2011,24,-
2011,25,-
2011,26,-
2011,27,-
2011,28,-
2011,29,-
2011,30,-
2011,31,-
2011,32,-
2011,33,-
2011,34,-
2011,35,-
2011,36,-
2011,37,-
2011,38,-
2011,39,-
2011,40,-
2011,41,-
2011,42,-
2011,43,-
2011,44,-
2011,45,-
2011,46,-
2011,47,-
2011,48,-
2011,49,-
2011,50,-
2011,51,-
2011,52,-
